date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:15:41	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Dec%202023%2017:15:32%20GMT	http://www.orgmech.co.uk/robots.txt		(from )
17:15:41	2591/2591	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:32%20GMT	http://www.orgmech.co.uk/	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/index.html	(from )
17:15:41	2558/2558	---M--	200	added ('OK')	text/css	date:Sun,%2028%20Apr%202013%2010:51:32%20GMT	http://www.orgmech.co.uk/style.css	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/style.css	(from http://www.orgmech.co.uk/)
17:15:42	2555/2555	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:33%20GMT	http://www.orgmech.co.uk/index.php	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/index-2.html	(from http://www.orgmech.co.uk/)
17:15:42	6759/6759	---M--	200	added ('OK')	image/gif	date:Wed,%2004%20Sep%202019%2007:57:36%20GMT	http://www.orgmech.co.uk/title.gif	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/title.gif	(from http://www.orgmech.co.uk/)
17:15:42	1527/1527	---M--	200	added ('OK')	image/gif	date:Sun,%2028%20Apr%202013%2010:43:27%20GMT	http://www.orgmech.co.uk/author.gif	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/author.gif	(from http://www.orgmech.co.uk/)
17:15:43	799/799	---M--	200	added ('OK')	image/gif	date:Sun,%2028%20Apr%202013%2010:50:55%20GMT	http://www.orgmech.co.uk/line.gif	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/line.gif	(from http://www.orgmech.co.uk/)
17:15:43	818/818	---M--	200	added ('OK')	image/gif	date:Sun,%2028%20Apr%202013%2010:43:26%20GMT	http://www.orgmech.co.uk/arrow.gif	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/arrow.gif	(from http://www.orgmech.co.uk/)
17:15:43	21915/21915	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:34%20GMT	http://www.orgmech.co.uk/Year.php?&Year=First	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/Year6eae.html	(from http://www.orgmech.co.uk/)
17:15:43	53128/53128	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:34%20GMT	http://www.orgmech.co.uk/Year.php?&Year=Second	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/Year56dd.html	(from http://www.orgmech.co.uk/)
17:15:44	40855/40855	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:34%20GMT	http://www.orgmech.co.uk/Year.php?&Year=Third	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/Year66dc.html	(from http://www.orgmech.co.uk/)
17:15:44	96223/96223	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:35%20GMT	http://www.orgmech.co.uk/All.php?	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/Alld41d.html	(from http://www.orgmech.co.uk/)
17:15:44	7170/7170	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:35%20GMT	http://www.orgmech.co.uk/book.php	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/book.html	(from http://www.orgmech.co.uk/)
17:15:45	8178/8178	---M--	200	added ('OK')	image/gif	date:Sun,%2028%20Apr%202013%2010:44:53%20GMT	http://www.orgmech.co.uk/Files/Free%20radicals-%20Rearrangements-%205-exo-trig%20cyclisation.gif	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/Files/Free%20radicals-%20Rearrangements-%205-exo-trig%20cyclisation.gif	(from http://www.orgmech.co.uk/)
17:15:45	9248/9248	---M--	200	added ('OK')	image/gif	date:Sun,%2028%20Apr%202013%2010:47:45%20GMT	http://www.orgmech.co.uk/Files/Phosphorous-%20Wittig-%20intramolecular.gif	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/Files/Phosphorous-%20Wittig-%20intramolecular.gif	(from http://www.orgmech.co.uk/index.php)
17:15:45	7754/7754	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:36%20GMT	http://www.orgmech.co.uk/category.php?Year=First&Cat=Alkenes&	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/category3800.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:45	5078/5078	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:36%20GMT	http://www.orgmech.co.uk/category.php?Year=First&Cat=Alkynes&	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/categorye67c.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:45	4931/4931	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:36%20GMT	http://www.orgmech.co.uk/category.php?Year=First&Cat=Amines&	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/category7654.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:46	6011/6011	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:36%20GMT	http://www.orgmech.co.uk/category.php?Year=First&Cat=Aromatic&	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/category71f2.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:46	4669/4669	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:37%20GMT	http://www.orgmech.co.uk/category.php?Year=First&Cat=Biological&	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/category3862.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:46	6130/6130	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:37%20GMT	http://www.orgmech.co.uk/category.php?Year=First&Cat=Conjugate%20Addition&	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/category6743.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:46	5386/5386	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:37%20GMT	http://www.orgmech.co.uk/category.php?Year=First&Cat=Enols%20and%20Enolates&	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/category725e.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:47	5145/5145	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:37%20GMT	http://www.orgmech.co.uk/category.php?Year=First&Cat=Epoxides&	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/category8c23.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:47	5451/5451	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:38%20GMT	http://www.orgmech.co.uk/category.php?Year=First&Cat=Nucleophilic%20addition&	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/categorye6d3.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
